,step,wolf,elk,pack,average_kills,average_elk_age
0,1,0,206,0,0,9.227035100821524
1,2,0,212,0,0,9.00326560232222
2,3,0,219,0,0,8.752722163681083
3,4,0,225,0,0,8.556752136752147
4,5,0,225,0,0,8.454700854700869
5,6,0,225,0,0,8.482735042735053
6,7,0,225,0,0,8.3471794871795
7,8,0,226,0,0,8.190605854322678
8,9,0,224,0,0,8.047390109890127
9,10,0,230,0,0,7.827424749163891
10,11,0,237,0,0,7.630639402791311
11,12,0,245,0,0,7.418367346938787
12,13,0,249,0,0,7.130985480383082
13,14,0,248,0,0,7.197580645161301
14,15,0,244,0,0,7.081179066834819
15,16,0,240,0,0,7.149198717948731
16,17,0,236,0,0,7.166558018252945
17,18,0,239,0,0,7.055037013196022
18,19,0,237,0,0,7.040571243102899
19,20,0,237,0,0,6.941739694904267
20,21,0,238,0,0,6.794279250161612
21,22,0,230,0,0,6.743645484949845
22,23,0,231,0,0,6.565601065601078
23,24,0,229,0,0,6.547363117232122
24,25,0,225,0,0,6.564957264957278
25,26,0,225,0,0,6.5343589743589865
26,27,0,221,0,0,6.525234946049436
27,28,0,216,0,0,6.54042022792024
28,29,0,211,0,0,6.407765220561442
29,30,0,207,0,0,6.440170940170951
30,31,0,203,0,0,6.269230769230785
31,32,0,203,0,0,6.193065555134533
32,33,0,196,0,0,6.1216640502354975
33,34,0,192,0,0,6.243189102564108
34,35,0,193,0,0,6.242925468314085
35,36,0,194,0,0,6.074345757335461
36,37,0,195,0,0,6.076331360946754
37,38,0,194,0,0,6.079500396510717
38,39,0,196,0,0,6.0504317111460075
39,40,0,200,0,0,5.88076923076924
40,41,0,202,0,0,5.757996953541515
41,42,0,201,0,0,5.784730195177968
42,43,0,198,0,0,5.811577311577323
43,44,0,201,0,0,5.677573670110998
44,45,0,206,0,0,5.5750560119492265
45,46,0,205,0,0,5.574671669793637
46,47,0,205,0,0,5.575234521575996
47,48,0,205,0,0,5.612382739212026
48,49,0,204,0,0,5.654223227752655
49,50,0,200,0,0,5.697115384615398
50,51,0,198,0,0,5.63636363636365
51,52,0,203,0,0,5.441265630920816
52,53,0,203,0,0,5.391057218643431
53,54,0,203,0,0,5.288366805608189
54,55,0,204,0,0,5.285822021116147
55,56,0,210,0,0,5.166300366300379
56,57,0,208,0,0,5.066013313609478
57,58,0,207,0,0,5.005202526941669
58,59,0,207,0,0,4.941471571906371
59,60,0,207,0,0,4.8755109624675
60,61,0,208,0,0,4.882396449704156
61,62,0,207,0,0,4.909327387588271
62,63,0,204,0,0,5.003770739064873
63,64,0,206,0,0,4.929051530993291
64,65,0,206,0,0,4.949775952203148
65,66,0,204,0,0,4.945701357466075
66,67,0,205,0,0,4.742964352720462
67,68,0,202,0,0,4.782368621477547
68,69,0,201,0,0,4.721967087638744
69,70,0,203,0,0,4.525388404698765
70,71,0,209,0,0,4.421604711078412
71,72,0,203,0,0,4.41511936339524
72,73,0,198,0,0,4.421717171717185
73,74,0,195,0,0,4.4355029585798915
74,75,0,191,0,0,4.437776882803074
75,76,0,191,0,0,4.380587998389058
76,77,0,190,0,0,4.439878542510132
77,78,0,196,0,0,4.334772370486665
78,79,0,206,0,0,4.158700522778201
79,80,0,203,0,0,4.038840469874961
80,81,0,205,0,0,4.033395872420274
81,82,0,204,0,0,4.083333333333346
82,83,0,205,0,0,4.100187617260803
83,84,0,207,0,0,4.0824972129320125
84,85,0,212,0,0,4.0125181422351375
85,86,0,214,0,0,3.991013659237969
86,87,0,217,0,0,3.9723502304147558
87,88,0,217,0,0,3.997873094647299
88,89,0,219,0,0,3.9885844748858577
89,90,0,219,0,0,3.983491394450308
90,91,0,219,0,0,4.005619950825438
91,92,0,224,0,0,3.8997252747252817
92,93,0,227,0,0,3.868858014232472
93,94,0,223,0,0,3.9318730596757616
94,95,0,229,0,0,3.8663083641249707
95,96,0,229,0,0,3.843970440040324
96,97,0,235,0,0,3.7833060556464972
97,98,0,230,0,0,3.7934782608695796
98,99,0,237,0,0,3.7187601428107855
99,100,0,240,0,0,3.7012820512820586
100,101,0,240,0,0,3.7014423076923184
101,102,0,243,0,0,3.665558721114288
102,103,0,241,0,0,3.708745611235249
103,104,0,237,0,0,3.7411554690035804
104,105,0,237,0,0,3.7431028886725186
105,106,0,234,0,0,3.7861604207758144
106,107,0,237,0,0,3.67737747484584
107,108,0,236,0,0,3.7048565840938856
108,109,0,236,0,0,3.7418513689700266
109,110,0,236,0,0,3.7672750977835885
110,111,0,234,0,0,3.762327416173584
111,112,0,230,0,0,3.8301003344481686
112,113,0,235,0,0,3.775122749590841
113,114,0,235,0,0,3.7209492635024635
114,115,0,243,0,0,3.6335865780310326
115,116,0,246,0,0,3.5686366479049507
116,117,0,249,0,0,3.5455668829162894
117,118,0,247,0,0,3.5029585798816654
118,119,0,245,0,0,3.4441130298273266
119,120,0,244,0,0,3.477616645649444
120,121,0,243,0,0,3.448559670781906
121,122,0,242,0,0,3.47441195168469
122,123,0,240,0,0,3.4487179487179627
123,124,0,246,0,0,3.398530331457172
124,125,0,247,0,0,3.3936468389909757
125,126,0,245,0,0,3.392935635792786
126,127,0,243,0,0,3.407090851535305
127,128,0,245,0,0,3.3904238618524443
128,129,0,247,0,0,3.3861725319215306
129,130,0,249,0,0,3.3835341365461935
130,131,0,245,0,0,3.430926216640511
131,132,0,244,0,0,3.4547604035309067
132,133,0,246,0,0,3.4455909943714933
133,134,0,243,0,0,3.499683444127903
134,135,0,245,0,0,3.4222919937205782
135,136,0,245,0,0,3.3521193092621804
136,137,0,250,0,0,3.319846153846165
137,138,0,254,0,0,3.279376135675357
138,139,0,254,0,0,3.250302846759548
139,140,0,249,0,0,3.3302440531356297
140,141,0,250,0,0,3.3450769230769346
141,142,0,255,0,0,3.3110105580693925
142,143,0,250,0,0,3.3590769230769335
143,144,0,251,0,0,3.3519767085504233
144,145,0,251,0,0,3.3662273980999182
145,146,0,247,0,0,3.419651199003436
146,147,0,245,0,0,3.379277864992165
147,148,0,233,0,0,3.408715747771556
148,149,0,236,0,0,3.3722294654498177
149,150,0,235,0,0,3.410474631751238
150,151,0,237,0,0,3.416747809152883
151,152,0,234,0,0,3.4687705456936335
152,153,0,235,0,0,3.4000000000000115
153,154,0,237,0,0,3.4094449853943645
154,155,0,239,0,0,3.3105889925973733
155,156,0,232,0,0,3.3519562334217627
156,157,0,237,0,0,3.314345991561193
157,158,0,227,0,0,3.4008810572687356
158,159,0,225,0,0,3.3435897435897566
159,160,0,223,0,0,3.3671955846843864
160,161,0,227,0,0,3.345645543883439
161,162,0,223,0,0,3.372024836150406
162,163,0,224,0,0,3.37551510989012
163,164,0,227,0,0,3.3659776347001134
164,165,0,227,0,0,3.3807184005422024
165,166,0,227,0,0,3.417316164012214
166,167,0,225,0,0,3.4627350427350585
167,168,0,231,0,0,3.39560439560441
168,169,0,227,0,0,3.481531684174869
169,170,0,229,0,0,3.3973799126637685
170,171,0,228,0,0,3.400978407557368
171,172,0,227,0,0,3.4252795662487423
172,173,0,228,0,0,3.400641025641039
173,174,0,231,0,0,3.2922077922078037
174,175,0,231,0,0,3.327838827838837
175,176,0,224,0,0,3.3822115384615503
176,177,0,223,0,0,3.427733701276314
177,178,0,223,0,0,3.4010003449465467
178,179,0,224,0,0,3.384787087912103
179,180,0,224,0,0,3.4155219780219936
180,181,0,226,0,0,3.4016337644656383
181,182,0,228,0,0,3.374156545209192
182,183,0,228,0,0,3.3652159244264643
183,184,0,229,0,0,3.380248572388323
184,185,0,232,0,0,3.3430039787798527
185,186,0,235,0,0,3.336333878887085
