,elk_reproduce,wolf_reproduce,pack_size_threshold,Run,Elk,Wolves,Packs,Killed Elks/Wolf,Elks age
32119,0.06532714843750001,0.037729492187500005,3,20,5,0.4306640625,4,17,2.1939102564102533
32120,0.0350927734375,0.030170898437500003,3,29,7,0.1267578125,8,34,2.712637362637364
32121,0.0315771484375,0.030170898437500003,3,29,7,0.1267578125,8,34,1.927884615384614
32122,0.0350927734375,0.07147949218750001,3,29,7,0.1267578125,8,34,2.5217391304347863
32123,0.0350927734375,0.030170898437500003,2,29,7,0.1267578125,8,34,2.273076923076921
32124,0.0350927734375,0.030170898437500003,3,23,7,0.1267578125,8,34,0.0
32125,0.0350927734375,0.030170898437500003,3,29,2,0.1267578125,8,34,1.9912587412587393
32126,0.0350927734375,0.030170898437500003,3,29,7,0.38066406250000007,8,34,0.0
32127,0.0350927734375,0.030170898437500003,3,29,7,0.1267578125,5,34,2.6246153846153812
32128,0.0350927734375,0.030170898437500003,3,29,7,0.1267578125,8,13,0.0
32129,0.0315771484375,0.07147949218750001,2,23,2,0.38066406250000007,5,13,2.4143772893772906
32130,0.0800927734375,0.07517089843750001,2,16,4,0.3267578125,5,19,2.8942307692307656
32131,0.0765771484375,0.07517089843750001,2,16,4,0.3267578125,5,19,2.4286405418480923
32132,0.0800927734375,0.026479492187500002,2,16,4,0.3267578125,5,19,0.0
32133,0.0800927734375,0.07517089843750001,3,16,4,0.3267578125,5,19,0.0
32134,0.0800927734375,0.07517089843750001,2,10,4,0.3267578125,5,19,0.0
32135,0.0800927734375,0.07517089843750001,2,16,5,0.3267578125,5,19,2.8942307692307656
32136,0.0800927734375,0.07517089843750001,2,16,4,0.1806640625,5,19,0.0
32137,0.0800927734375,0.07517089843750001,2,16,4,0.3267578125,8,19,2.522514071294561
32138,0.0800927734375,0.07517089843750001,2,16,4,0.3267578125,5,28,2.166666666666665
32139,0.0765771484375,0.026479492187500002,3,10,5,0.1806640625,8,28,2.5217391304347863
32140,0.05759277343750001,0.05267089843750001,3,23,3,0.4267578125,9,11,2.717948717948716
32141,0.09907714843750001,0.05267089843750001,3,23,3,0.4267578125,9,11,2.552884615384618
32142,0.05759277343750001,0.04897949218750001,3,23,3,0.4267578125,9,11,0.0
32143,0.05759277343750001,0.05267089843750001,3,23,3,0.4267578125,9,11,2.1939102564102533
32144,0.05759277343750001,0.05267089843750001,3,16,3,0.4267578125,9,11,2.552884615384618
32145,0.05759277343750001,0.05267089843750001,3,23,4,0.4267578125,9,11,2.8024475524475636
32146,0.05759277343750001,0.05267089843750001,3,23,3,0.48066406250000004,9,11,2.1574946792338094
32147,0.05759277343750001,0.05267089843750001,3,23,3,0.4267578125,9,11,2.6246153846153812
32148,0.05759277343750001,0.05267089843750001,3,23,3,0.4267578125,9,20,0.0
32149,0.09907714843750001,0.04897949218750001,3,16,4,0.48066406250000004,9,20,2.6246153846153812
32150,0.0125927734375,0.0976708984375,2,10,6,0.22675781250000002,6,26,0.0
32151,0.05407714843750001,0.0976708984375,2,10,6,0.22675781250000002,6,26,0.0
32152,0.0125927734375,0.0939794921875,2,10,6,0.22675781250000002,6,26,0.0
32153,0.0125927734375,0.0976708984375,2,10,6,0.22675781250000002,6,26,0.0
32154,0.0125927734375,0.0976708984375,2,29,6,0.22675781250000002,6,26,7.730769230769295
32155,0.0125927734375,0.0976708984375,2,10,7,0.22675781250000002,6,26,2.532786885245899
32156,0.0125927734375,0.0976708984375,2,10,6,0.2806640625,6,26,2.3108412055780523
32157,0.0125927734375,0.0976708984375,2,10,6,0.22675781250000002,6,26,0.0
32158,0.0125927734375,0.0976708984375,2,10,6,0.22675781250000002,6,35,0.0
32159,0.05407714843750001,0.0939794921875,2,29,7,0.2806640625,6,35,2.3157509157509137
32160,0.0118896484375,0.0393115234375,3,20,6,0.11113281250000001,5,28,0.0
32161,0.0182177734375,0.0393115234375,3,20,6,0.11113281250000001,5,28,2.717948717948716
32162,0.0118896484375,0.04546386718750001,3,20,6,0.11113281250000001,5,28,1.9912587412587393
32163,0.0118896484375,0.0393115234375,3,20,6,0.11113281250000001,5,28,2.4286405418480923
32164,0.0118896484375,0.0393115234375,3,15,6,0.11113281250000001,5,28,2.3692307692307697
32165,0.0118896484375,0.0393115234375,3,20,2,0.11113281250000001,5,28,2.552884615384618
32166,0.0118896484375,0.0393115234375,3,20,6,0.1775390625,5,28,2.3692307692307697
32167,0.0118896484375,0.0393115234375,3,20,6,0.11113281250000001,9,28,2.3692307692307697
32168,0.0118896484375,0.0393115234375,3,20,6,0.11113281250000001,5,28,0.0
32169,0.0182177734375,0.04546386718750001,3,15,2,0.1775390625,9,28,0.0
32170,0.05688964843750001,0.08431152343750001,2,7,3,0.3111328125,8,13,2.712637362637364
32171,0.0632177734375,0.08431152343750001,2,7,3,0.3111328125,8,13,2.0145530145530133
32172,0.05688964843750001,0.0904638671875,2,7,3,0.3111328125,8,13,0.0
32173,0.05688964843750001,0.08431152343750001,2,7,3,0.3111328125,8,13,0.0
